P01D10B,P01A02,P01A03,P01A04,P01A05,P01A06,P01A07,CP,CAPITULO,SECCION,PREGUNTA,DEFINICION DE INCONSISTENCIA,CODIGO ERROR,COMENTARIOS
2301.0,11.0,2.0,13159.0,0142,8.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2301.0,11.0,2.0,13159.0,0160,9.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2401.0,13.0,8.0,16094.0,93,1.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2401.0,13.0,8.0,16094.0,60,1.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2301.0,11.0,2.0,13159.0,0019,11.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2401.0,13.0,8.0,16094.0,107,20.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,3.0,142.0,18,3.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2301.0,11.0,5.0,13252.0,0021,3.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2301.0,11.0,2.0,13159.0,0174,15.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,3.0,142.0,0094,14.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,3.0,142.0,0022,4.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
